fecha,riesgo_pais
02/01/2017,455
03/01/2017,474
04/01/2017,477
05/01/2017,475
06/01/2017,468
09/01/2017,470
10/01/2017,482
11/01/2017,483
12/01/2017,473
13/01/2017,453
16/01/2017,453
17/01/2017,455
18/01/2017,459
19/01/2017,461
20/01/2017,462
23/01/2017,469
24/01/2017,464
25/01/2017,463
26/01/2017,463
27/01/2017,457
30/01/2017,469
31/01/2017,469
01/02/2017,461
02/02/2017,448
03/02/2017,440
06/02/2017,443
07/02/2017,458
08/02/2017,460
09/02/2017,456
10/02/2017,446
13/02/2017,441
14/02/2017,442
15/02/2017,448
16/02/2017,459
17/02/2017,460
20/02/2017,460
21/02/2017,456
22/02/2017,456
23/02/2017,458
24/02/2017,466
27/02/2017,469
28/02/2017,466
01/03/2017,454
02/03/2017,451
03/03/2017,445
06/03/2017,447
07/03/2017,442
08/03/2017,452
09/03/2017,456
10/03/2017,451
13/03/2017,456
14/03/2017,463
15/03/2017,452
16/03/2017,449
17/03/2017,443
20/03/2017,444
21/03/2017,453
22/03/2017,458
23/03/2017,456
24/03/2017,455
27/03/2017,461
28/03/2017,457
29/03/2017,453
30/03/2017,450
31/03/2017,452
03/04/2017,454
04/04/2017,447
05/04/2017,439
06/04/2017,439
07/04/2017,437
10/04/2017,436
11/04/2017,439
12/04/2017,443
13/04/2017,442
17/04/2017,438
18/04/2017,440
19/04/2017,433
20/04/2017,427
21/04/2017,424
24/04/2017,414
25/04/2017,407
26/04/2017,417
27/04/2017,417
28/04/2017,415
01/05/2017,411
02/05/2017,405
03/05/2017,404
04/05/2017,405
05/05/2017,407
08/05/2017,407
09/05/2017,410
10/05/2017,403
11/05/2017,405
12/05/2017,407
15/05/2017,400
16/05/2017,404
17/05/2017,419
18/05/2017,431
19/05/2017,422
22/05/2017,426
23/05/2017,420
24/05/2017,415
25/05/2017,419
26/05/2017,418
29/05/2017,418
30/05/2017,416
31/05/2017,407
01/06/2017,402
02/06/2017,398
05/06/2017,397
06/06/2017,395
07/06/2017,396
08/06/2017,395
09/06/2017,397
12/06/2017,399
13/06/2017,396
14/06/2017,399
15/06/2017,404
16/06/2017,407
19/06/2017,411
20/06/2017,426
21/06/2017,431
22/06/2017,423
23/06/2017,419
26/06/2017,414
27/06/2017,421
28/06/2017,424
29/06/2017,435
30/06/2017,432
03/07/2017,430
05/07/2017,436
06/07/2017,445
07/07/2017,443
10/07/2017,435
11/07/2017,433
12/07/2017,430
13/07/2017,429
14/07/2017,426
17/07/2017,425
18/07/2017,435
19/07/2017,436
20/07/2017,437
21/07/2017,440
24/07/2017,444
25/07/2017,442
26/07/2017,436
27/07/2017,433
28/07/2017,440
31/07/2017,439
01/08/2017,441
02/08/2017,443
03/08/2017,446
04/08/2017,447
07/08/2017,447
08/08/2017,440
09/08/2017,445
10/08/2017,453
11/08/2017,444
14/08/2017,418
15/08/2017,409
16/08/2017,406
17/08/2017,417
18/08/2017,410
21/08/2017,412
22/08/2017,409
23/08/2017,408
24/08/2017,403
25/08/2017,395
28/08/2017,396
29/08/2017,395
30/08/2017,387
31/08/2017,393
01/09/2017,388
04/09/2017,388
05/09/2017,393
06/09/2017,393
07/09/2017,392
08/09/2017,390
11/09/2017,385
12/09/2017,384
13/09/2017,374
14/09/2017,375
15/09/2017,373
18/09/2017,370
19/09/2017,371
20/09/2017,370
21/09/2017,370
22/09/2017,368
25/09/2017,375
26/09/2017,377
27/09/2017,379
28/09/2017,375
29/09/2017,367
02/10/2017,367
03/10/2017,365
04/10/2017,362
05/10/2017,359
06/10/2017,362
09/10/2017,362
10/10/2017,363
11/10/2017,358
12/10/2017,354
13/10/2017,348
16/10/2017,345
17/10/2017,343
18/10/2017,342
19/10/2017,350
20/10/2017,349
23/10/2017,342
24/10/2017,348
25/10/2017,349
26/10/2017,361
27/10/2017,355
30/10/2017,344
31/10/2017,361
01/11/2017,365
02/11/2017,361
03/11/2017,368
06/11/2017,374
07/11/2017,384
08/11/2017,383
09/11/2017,386
10/11/2017,381
13/11/2017,380
14/11/2017,381
15/11/2017,388
16/11/2017,373
17/11/2017,366
20/11/2017,368
21/11/2017,363
22/11/2017,363
23/11/2017,363
24/11/2017,363
27/11/2017,361
28/11/2017,356
29/11/2017,358
30/11/2017,357
01/12/2017,359
04/12/2017,355
05/12/2017,356
06/12/2017,363
07/12/2017,365
08/12/2017,368
11/12/2017,366
12/12/2017,364
13/12/2017,363
14/12/2017,361
15/12/2017,361
18/12/2017,355
19/12/2017,350
20/12/2017,346
21/12/2017,347
22/12/2017,347
26/12/2017,348
27/12/2017,350
28/12/2017,349
29/12/2017,351
02/01/2018,347
03/01/2018,355
04/01/2018,356
05/01/2018,362
08/01/2018,365
09/01/2018,361
10/01/2018,364
11/01/2018,363
12/01/2018,364
15/01/2018,364
16/01/2018,362
17/01/2018,360
18/01/2018,359
19/01/2018,363
22/01/2018,365
23/01/2018,367
24/01/2018,369
25/01/2018,373
26/01/2018,372
29/01/2018,376
30/01/2018,379
31/01/2018,374
01/02/2018,373
02/02/2018,376
05/02/2018,396
06/02/2018,394
07/02/2018,383
08/02/2018,405
09/02/2018,426
12/02/2018,413
13/02/2018,423
14/02/2018,415
15/02/2018,397
16/02/2018,391
20/02/2018,397
21/02/2018,393
22/02/2018,402
23/02/2018,404
26/02/2018,397
27/02/2018,397
28/02/2018,404
01/03/2018,417
02/03/2018,412
05/03/2018,410
06/03/2018,408
07/03/2018,414
08/03/2018,407
09/03/2018,388
12/03/2018,392
13/03/2018,399
14/03/2018,403
15/03/2018,412
16/03/2018,409
19/03/2018,420
20/03/2018,411
21/03/2018,409
22/03/2018,419
23/03/2018,425
26/03/2018,418
27/03/2018,420
28/03/2018,418
29/03/2018,420
02/04/2018,425
03/04/2018,417
04/04/2018,417
05/04/2018,408
06/04/2018,419
09/04/2018,415
10/04/2018,408
11/04/2018,406
12/04/2018,397
13/04/2018,398
16/04/2018,401
17/04/2018,401
18/04/2018,398
19/04/2018,399
20/04/2018,400
23/04/2018,401
24/04/2018,403
25/04/2018,402
26/04/2018,418
27/04/2018,419
30/04/2018,430
01/05/2018,431
02/05/2018,443
03/05/2018,470
04/05/2018,454
07/05/2018,471
08/05/2018,489
09/05/2018,491
10/05/2018,469
11/05/2018,480
14/05/2018,500
15/05/2018,482
16/05/2018,450
17/05/2018,453
18/05/2018,461
21/05/2018,459
22/05/2018,456
23/05/2018,454
24/05/2018,456
25/05/2018,463
28/05/2018,463
29/05/2018,499
30/05/2018,504
31/05/2018,524
01/06/2018,515
04/06/2018,483
05/06/2018,475
06/06/2018,468
07/06/2018,481
08/06/2018,476
11/06/2018,487
12/06/2018,503
13/06/2018,507
14/06/2018,539
15/06/2018,551
18/06/2018,566
19/06/2018,564
20/06/2018,557
21/06/2018,545
22/06/2018,535
25/06/2018,548
26/06/2018,559
27/06/2018,586
28/06/2018,595
29/06/2018,610
02/07/2018,607
03/07/2018,590
04/07/2018,590
05/07/2018,581
06/07/2018,567
09/07/2018,566
10/07/2018,569
11/07/2018,580
12/07/2018,575
13/07/2018,571
16/07/2018,577
17/07/2018,585
18/07/2018,578
19/07/2018,585
20/07/2018,575
23/07/2018,575
24/07/2018,578
25/07/2018,576
26/07/2018,556
27/07/2018,551
30/07/2018,552
31/07/2018,558
01/08/2018,562
02/08/2018,571
03/08/2018,571
06/08/2018,583
07/08/2018,593
08/08/2018,610
09/08/2018,634
10/08/2018,700
13/08/2018,748
14/08/2018,696
15/08/2018,699
16/08/2018,663
17/08/2018,671
20/08/2018,685
21/08/2018,686
22/08/2018,690
23/08/2018,696
24/08/2018,700
27/08/2018,688
28/08/2018,689
29/08/2018,728
30/08/2018,776
31/08/2018,771
03/09/2018,771
04/09/2018,783
05/09/2018,744
06/09/2018,729
07/09/2018,725
10/09/2018,745
11/09/2018,741
12/09/2018,699
13/09/2018,695
14/09/2018,661
17/09/2018,649
18/09/2018,656
19/09/2018,622
20/09/2018,601
21/09/2018,588
24/09/2018,612
25/09/2018,603
26/09/2018,614
27/09/2018,593
28/09/2018,623
01/10/2018,629
02/10/2018,632
03/10/2018,626
04/10/2018,656
05/10/2018,669
08/10/2018,669
09/10/2018,661
10/10/2018,681
11/10/2018,686
12/10/2018,657
15/10/2018,635
16/10/2018,636
17/10/2018,655
18/10/2018,663
19/10/2018,661
22/10/2018,665
23/10/2018,665
24/10/2018,676
25/10/2018,667
26/10/2018,670
29/10/2018,672
30/10/2018,665
31/10/2018,652
01/11/2018,635
02/11/2018,609
05/11/2018,604
06/11/2018,600
07/11/2018,597
08/11/2018,607
09/11/2018,617
12/11/2018,617
13/11/2018,637
14/11/2018,642
15/11/2018,649
16/11/2018,656
19/11/2018,666
20/11/2018,693
21/11/2018,686
22/11/2018,686
23/11/2018,688
26/11/2018,695
27/11/2018,714
28/11/2018,705
29/11/2018,709
30/11/2018,706
03/12/2018,698
04/12/2018,724
05/12/2018,724
06/12/2018,729
07/12/2018,729
10/12/2018,752
11/12/2018,757
12/12/2018,741
13/12/2018,746
14/12/2018,763
17/12/2018,775
18/12/2018,781
19/12/2018,787
20/12/2018,802
21/12/2018,815
24/12/2018,821
26/12/2018,820
27/12/2018,829
28/12/2018,813
31/12/2018,817
02/01/2019,791
03/01/2019,768
04/01/2019,730
07/01/2019,713
08/01/2019,727
09/01/2019,708
10/01/2019,706
11/01/2019,703
14/01/2019,697
15/01/2019,695
16/01/2019,689
17/01/2019,690
18/01/2019,672
21/01/2019,672
22/01/2019,689
23/01/2019,670
24/01/2019,663
25/01/2019,663
28/01/2019,685
29/01/2019,696
30/01/2019,689
31/01/2019,676
01/02/2019,654
04/02/2019,648
05/02/2019,635
06/02/2019,652
07/02/2019,667
08/02/2019,675
11/02/2019,683
12/02/2019,670
13/02/2019,665
14/02/2019,674
15/02/2019,690
18/02/2019,690
19/02/2019,703
20/02/2019,715
21/02/2019,711
22/02/2019,699
25/02/2019,692
26/02/2019,691
27/02/2019,686
28/02/2019,697
01/03/2019,718
04/03/2019,733
05/03/2019,744
06/03/2019,747
07/03/2019,777
08/03/2019,764
11/03/2019,738
12/03/2019,741
13/03/2019,748
14/03/2019,737
15/03/2019,724
18/03/2019,725
19/03/2019,724
20/03/2019,723
21/03/2019,731
22/03/2019,764
25/03/2019,768
26/03/2019,768
27/03/2019,781
28/03/2019,787
29/03/2019,774
01/04/2019,761
02/04/2019,764
03/04/2019,753
04/04/2019,767
05/04/2019,782
08/04/2019,803
09/04/2019,815
10/04/2019,816
11/04/2019,814
12/04/2019,808
15/04/2019,808
16/04/2019,801
17/04/2019,825
18/04/2019,851
22/04/2019,845
23/04/2019,860
24/04/2019,950
25/04/2019,939
26/04/2019,963
29/04/2019,939
30/04/2019,950
01/05/2019,960
02/05/2019,964
03/05/2019,931
06/05/2019,916
07/05/2019,917
08/05/2019,901
09/05/2019,903
10/05/2019,898
13/05/2019,931
14/05/2019,921
15/05/2019,913
16/05/2019,918
17/05/2019,943
20/05/2019,934
21/05/2019,885
22/05/2019,909
23/05/2019,919
24/05/2019,903
27/05/2019,903
28/05/2019,920
29/05/2019,934
30/05/2019,942
31/05/2019,985
03/06/2019,1008
04/06/2019,969
05/06/2019,967
06/06/2019,952
07/06/2019,947
10/06/2019,932
11/06/2019,904
12/06/2019,849
13/06/2019,844
14/06/2019,845
17/06/2019,850
18/06/2019,833
19/06/2019,826
20/06/2019,822
21/06/2019,821
24/06/2019,849
25/06/2019,875
26/06/2019,871
27/06/2019,856
28/06/2019,835
01/07/2019,813
02/07/2019,803
03/07/2019,795
04/07/2019,795
05/07/2019,787
08/07/2019,801
09/07/2019,786
10/07/2019,786
11/07/2019,787
12/07/2019,778
15/07/2019,771
16/07/2019,773
17/07/2019,781
18/07/2019,790
19/07/2019,783
22/07/2019,782
23/07/2019,780
24/07/2019,810
25/07/2019,826
26/07/2019,792
29/07/2019,785
30/07/2019,783
31/07/2019,781
01/08/2019,815
02/08/2019,829
05/08/2019,902
06/08/2019,896
07/08/2019,897
08/08/2019,895
09/08/2019,872
12/08/2019,1467
13/08/2019,1741
14/08/2019,1957
15/08/2019,1738
16/08/2019,1653
19/08/2019,1879
20/08/2019,1866
21/08/2019,1814
22/08/2019,1795
23/08/2019,1807
26/08/2019,1815
27/08/2019,1990
28/08/2019,2072
29/08/2019,2272
30/08/2019,2532
02/09/2019,2532
03/09/2019,2523
04/09/2019,2336
05/09/2019,2188
06/09/2019,2031
09/09/2019,2053
10/09/2019,2109
11/09/2019,2061
12/09/2019,2093
13/09/2019,2167
16/09/2019,2232
17/09/2019,2152
18/09/2019,2084
19/09/2019,2115
20/09/2019,2100
23/09/2019,2163
24/09/2019,2223
25/09/2019,2212
26/09/2019,2232
27/09/2019,2172
30/09/2019,2143
01/10/2019,2156
02/10/2019,2181
03/10/2019,2190
04/10/2019,2169
07/10/2019,2110
08/10/2019,2094
09/10/2019,2049
10/10/2019,1890
11/10/2019,1894
14/10/2019,1894
15/10/2019,1931
16/10/2019,2004
17/10/2019,1995
18/10/2019,2048
21/10/2019,2122
22/10/2019,2169
23/10/2019,2154
24/10/2019,2088
25/10/2019,2146
28/10/2019,2262
29/10/2019,2206
30/10/2019,2238
31/10/2019,2278
01/11/2019,2275
04/11/2019,2270
05/11/2019,2282
06/11/2019,2331
07/11/2019,2342
08/11/2019,2413
11/11/2019,2413
12/11/2019,2493
13/11/2019,2496
14/11/2019,2430
15/11/2019,2442
18/11/2019,2455
19/11/2019,2366
20/11/2019,2262
21/11/2019,2208
22/11/2019,2236
25/11/2019,2289
26/11/2019,2272
27/11/2019,2264
28/11/2019,2264
29/11/2019,2262
02/12/2019,2376
03/12/2019,2400
04/12/2019,2340
05/12/2019,2358
06/12/2019,2317
09/12/2019,2180
10/12/2019,2165
11/12/2019,2141
12/12/2019,2083
13/12/2019,2103
16/12/2019,2114
17/12/2019,1968
18/12/2019,1888
19/12/2019,1929
20/12/2019,1902
23/12/2019,1851
24/12/2019,1831
26/12/2019,1779
27/12/2019,1738
30/12/2019,1748
31/12/2019,1744
02/01/2020,1824
03/01/2020,1938
06/01/2020,1930
07/01/2020,1898
08/01/2020,1887
09/01/2020,1847
10/01/2020,1820
13/01/2020,1819
14/01/2020,1847
15/01/2020,1806
16/01/2020,1802
17/01/2020,1830
20/01/2020,1830
21/01/2020,1920
22/01/2020,1967
23/01/2020,1995
24/01/2020,2070
27/01/2020,2150
28/01/2020,2098
29/01/2020,2029
30/01/2020,2035
31/01/2020,2068
04/02/2020,1904
05/02/2020,1884
06/02/2020,1901
07/02/2020,1864
10/02/2020,1882
11/02/2020,1981
12/02/2020,1951
13/02/2020,2037
14/02/2020,2014
17/02/2020,2014
18/02/2020,2053
19/02/2020,2035
20/02/2020,2092
21/02/2020,2046
24/02/2020,2059
25/02/2020,2071
26/02/2020,2082
27/02/2020,2186
28/02/2020,2283
02/03/2020,2244
03/03/2020,2214
04/03/2020,2186
05/03/2020,2330
06/03/2020,2426
09/03/2020,2783
10/03/2020,2812
11/03/2020,2948
12/03/2020,3124
13/03/2020,3064
16/03/2020,3467
17/03/2020,3546
18/03/2020,3969
19/03/2020,4050
20/03/2020,4015
23/03/2020,4362
24/03/2020,4269
25/03/2020,4246
26/03/2020,4143
27/03/2020,4185
30/03/2020,4082
31/03/2020,3803
01/04/2020,3943
02/04/2020,3828
03/04/2020,3683
06/04/2020,3588
07/04/2020,3652
08/04/2020,3842
09/04/2020,3798
13/04/2020,3864
14/04/2020,3856
15/04/2020,3994
16/04/2020,3987
17/04/2020,3496
20/04/2020,3429
21/04/2020,3617
22/04/2020,3789
23/04/2020,3994
24/04/2020,4037
27/04/2020,4009
28/04/2020,3989
29/04/2020,3999
30/04/2020,3472
01/05/2020,3520
04/05/2020,3614
05/05/2020,3455
06/05/2020,3374
