fecha,cuenta_corriente_MM_ARS,circulacion_monetaria_MM_ARS,base_monetaria_total_MM_ARS,reservas_internacionales_M_USD,tasa_dolar_bcra_ARS
01/01/2017,227,595,822,39308,15.85
02/01/2017,259,596,855,39296,15.92
03/01/2017,260,597,857,39486,15.9
04/01/2017,255,598,852,39580,16.05
05/01/2017,244,599,843,39856,15.99
06/01/2017,240,600,840,39802,15.85
07/01/2017,240,600,840,39802,15.85
08/01/2017,240,600,840,39802,15.85
09/01/2017,239,601,839,39661,15.81
10/01/2017,246,601,847,39702,15.87
11/01/2017,199,600,799,39665,15.86
12/01/2017,198,600,798,39890,15.82
13/01/2017,194,600,794,40114,15.84
14/01/2017,194,600,794,40114,15.84
15/01/2017,194,600,794,40114,15.84
16/01/2017,190,600,790,40135,15.87
17/01/2017,168,600,768,40202,15.88
18/01/2017,195,599,794,40184,15.95
19/01/2017,192,599,791,40051,15.98
20/01/2017,195,599,794,40003,15.86
21/01/2017,195,599,794,40003,15.86
22/01/2017,195,599,794,40003,15.86
23/01/2017,198,599,797,40002,15.92
24/01/2017,205,599,804,39915,15.96
25/01/2017,219,598,817,39884,15.93
26/01/2017,222,599,820,46634,15.94
27/01/2017,216,599,815,46651,15.89
28/01/2017,216,599,815,46651,15.89
29/01/2017,216,599,815,46651,15.89
30/01/2017,228,599,827,46847,15.94
31/01/2017,227,601,828,46887,15.91
01/02/2017,228,602,831,46750,15.84
02/02/2017,219,605,824,46647,15.72
03/02/2017,219,606,825,46653,15.65
04/02/2017,219,606,825,46653,15.65
05/02/2017,219,606,825,46653,15.65
06/02/2017,222,607,829,46705,15.62
07/02/2017,240,607,847,46743,15.72
08/02/2017,239,606,845,47178,15.69
09/02/2017,235,606,841,47178,15.63
10/02/2017,236,606,842,47431,15.55
11/02/2017,236,606,842,47431,15.55
12/02/2017,236,606,842,47431,15.55
13/02/2017,234,604,838,47360,15.53
14/02/2017,233,604,837,47188,15.48
15/02/2017,232,603,835,48624,15.46
16/02/2017,220,602,822,48702,15.37
17/02/2017,211,602,813,49085,15.58
18/02/2017,211,602,813,49085,15.58
19/02/2017,211,602,813,49085,15.58
20/02/2017,210,601,811,49051,15.72
21/02/2017,236,601,836,50751,15.66
22/02/2017,222,600,821,50768,15.54
23/02/2017,226,599,825,50801,15.57
24/02/2017,217,598,815,50608,15.46
25/02/2017,217,598,815,50608,15.46
26/02/2017,217,598,815,50608,15.46
27/02/2017,217,598,815,50608,15.46
28/02/2017,217,598,815,50608,15.46
01/03/2017,257,597,854,50551,15.48
02/03/2017,254,596,850,51114,15.39
03/03/2017,235,595,829,51010,15.45
04/03/2017,235,595,829,51010,15.45
05/03/2017,235,595,829,51010,15.45
06/03/2017,213,594,807,51495,15.44
07/03/2017,187,595,782,51457,15.5
08/03/2017,184,595,779,51494,15.59
09/03/2017,187,595,782,51599,15.63
10/03/2017,205,595,799,51651,15.48
11/03/2017,205,595,799,51651,15.48
12/03/2017,205,595,799,51651,15.48
13/03/2017,197,594,792,51816,15.52
14/03/2017,203,594,797,51772,15.54
15/03/2017,219,593,812,51618,15.55
16/03/2017,191,592,783,51649,15.53
17/03/2017,183,592,775,51667,15.53
18/03/2017,183,592,775,51667,15.53
19/03/2017,183,592,775,51667,15.53
20/03/2017,199,592,790,51929,15.67
21/03/2017,198,590,789,51950,15.64
22/03/2017,192,589,782,51926,15.58
23/03/2017,186,589,775,51745,15.63
24/03/2017,186,589,775,51745,15.63
25/03/2017,186,589,775,51745,15.63
26/03/2017,186,589,775,51745,15.63
27/03/2017,175,590,765,51661,15.61
28/03/2017,163,589,752,51516,15.54
29/03/2017,167,588,754,51190,15.47
30/03/2017,186,587,773,50907,15.4
31/03/2017,168,587,755,50522,15.38
