fecha,ipc_indice_abs
31/12/2016,100.00
31/01/2017,101.59
28/02/2017,103.69
31/03/2017,106.15
30/04/2017,108.97
31/05/2017,110.53
30/06/2017,111.85
31/07/2017,113.79
31/08/2017,115.38
30/09/2017,117.57
31/10/2017,119.35
30/11/2017,120.99
31/12/2017,124.80
31/01/2018,126.99
28/02/2018,130.06
31/03/2018,133.11
30/04/2018,136.75
31/05/2018,139.59
30/06/2018,144.81
31/07/2018,149.30
31/08/2018,155.10
30/09/2018,165.24
31/10/2018,174.15
30/11/2018,179.64
31/12/2018,184.26
31/01/2019,189.61
28/02/2019,196.75
31/03/2019,205.96
30/04/2019,213.05
31/05/2019,219.57
30/06/2019,225.54
31/07/2019,230.49
31/08/2019,239.61
30/09/2019,253.71
31/10/2019,262.07
30/11/2019,273.22
31/12/2019,283.44
31/01/2020,289.83
29/02/2020,295.67
31/03/2020,305.55
30/04/2020,310.12
31/05/2020,314.91
30/06/2020,321.97
31/07/2020,328.20
31/08/2020,337.06
30/09/2020,346.62
31/10/2020,359.66
30/11/2020,371.02
31/12/2020,385.88
31/01/2021,401.51
28/02/2021,415.86
31/03/2021,435.87
30/04/2021,453.65
31/05/2021,468.73
30/06/2021,483.60
31/07/2021,498.10
31/08/2021,510.39
30/09/2021,528.50
31/10/2021,547.08
30/11/2021,560.92
31/12/2021,582.46
31/01/2022,605.03
28/02/2022,633.43
31/03/2022,676.06
30/04/2022,716.94
31/05/2022,753.15
30/06/2022,793.03
31/07/2022,851.76
31/08/2022,911.13
30/09/2022,967.31
31/10/2022,1028.71
30/11/2022,1079.28
31/12/2022,1134.59
31/01/2023,1202.98
28/02/2023,1282.71
31/03/2023,1381.16
30/04/2023,1497.21
31/05/2023,1613.59
30/06/2023,1709.61
31/07/2023,1818.08
31/08/2023,2044.28
30/09/2023,2304.92
31/10/2023,2496.27
30/11/2023,2816.06
31/12/2023,3533.19
31/01/2024,4261.53
29/02/2024,4825.79
31/03/2024,5357.09
30/04/2024,5830.23
31/05/2024,6073.72
30/06/2024,6351.71
31/07/2024,6607.75
31/08/2024,6883.44
30/09/2024,7122.24
31/10/2024,7313.95
30/11/2024,7491.43
31/12/2024,7694.01
31/01/2025,7864.13
28/02/2025,8052.99
31/03/2025,8353.32
30/04/2025,8585.61
31/05/2025,8714.49
30/06/2025,8855.57
31/07/2025,9023.97
31/08/2025,9193.24
30/09/2025,9384.09
31/10/2025,9603.86
