fecha;riesgo_pais
30/09/2025;1222
29/09/2025;1115
27/09/2025;1060
26/09/2025;1060
25/09/2025;973
24/09/2025;898
23/09/2025;1018
22/09/2025;1089
19/09/2025;1456
18/09/2025;1456
17/09/2025;1246
16/09/2025;1167
15/09/2025;1231
12/09/2025;1140
11/09/2025;1047
10/09/2025;1024
09/09/2025;1070
08/09/2025;1108
05/09/2025;906
04/09/2025;901
03/09/2025;893
02/09/2025;898
29/08/2025;829
28/08/2025;837
27/08/2025;853
26/08/2025;850
25/08/2025;829
22/08/2025;767
21/08/2025;753
20/08/2025;747
19/08/2025;700
18/08/2025;706
15/08/2025;709
14/08/2025;712
13/08/2025;711
12/08/2025;722
11/08/2025;724
08/08/2025;733
07/08/2025;728
06/08/2025;735
05/08/2025;743
04/08/2025;761
01/08/2025;771
31/07/2025;730
30/07/2025;716
29/07/2025;727
28/07/2025;719
25/07/2025;734
24/07/2025;753
23/07/2025;773
22/07/2025;775
21/07/2025;763
18/07/2025;759
17/07/2025;770
16/07/2025;748
15/07/2025;736
11/07/2025;717
10/07/2025;700
09/07/2025;692
08/07/2025;704
07/07/2025;698
03/07/2025;679
02/07/2025;700
01/07/2025;699
30/06/2025;701
27/06/2025;677
26/06/2025;685
25/06/2025;687
24/06/2025;681
23/06/2025;719
18/06/2025;726
17/06/2025;714
16/06/2025;687
13/06/2025;688
12/06/2025;678
11/06/2025;668
10/06/2025;655
09/06/2025;686
06/06/2025;691
05/06/2025;688
04/06/2025;688
03/06/2025;668
29/05/2025;663
28/05/2025;655
27/05/2025;666
26/05/2025;666
23/05/2025;665
22/05/2025;665
21/05/2025;661
20/05/2025;663
19/05/2025;675
16/05/2025;676
15/05/2025;676
14/05/2025;648
13/05/2025;651
12/05/2025;650
09/05/2025;678
08/05/2025;678
07/05/2025;766
06/05/2025;741
05/05/2025;741
02/05/2025;741
01/05/2025;735
30/04/2025;726
29/04/2025;701
28/04/2025;710
25/04/2025;692
24/04/2025;713
23/04/2025;720
22/04/2025;720
21/04/2025;720
18/04/2025;726
17/04/2025;745
16/04/2025;745
15/04/2025;725
14/04/2025;896
11/04/2025;874
10/04/2025;899
09/04/2025;889
08/04/2025;978
07/04/2025;960
04/04/2025;925
03/04/2025;872
02/04/2025;823
01/04/2025;823
31/03/2025;816
28/03/2025;797
27/03/2025;759
26/03/2025;769
25/03/2025;761
21/03/2025;769
